node	dir	logFC	fdr	AbslogFC	Log2IvFdr
CD79B	up	1.0556120101008	0.0207596479050879	1.0556120101008	5.59007421476348
CD19	up	2.31670672571749	0.00149997598063588	2.31670672571749	9.3808448858709
CCR2	up	1.04393647394219	0.0013923941609773	1.04393647394219	9.48821661543525
CCL5	up	1.45472102886647	0.00912036937081995	1.45472102886647	6.77669203059453
CXCR6	up	1.50665001116511	0.000470174355988911	1.50665001116511	11.0545165251534
CCR7	up	1.46748207118755	0.0359484281451201	1.46748207118755	4.79792749996739
CCR5	up	1.04420373812591	0.0255018761196933	1.04420373812591	5.29325280272929
CXCL11	up	1.23412904810405	0.0407130901784098	1.23412904810405	4.61836346164311
PNOC	up	1.81614825682589	0.000185388767552166	1.81614825682589	12.397158543826
S1PR4	up	1.42669891496512	0.00551717597200216	1.42669891496512	7.50185428826102
CXCL9	up	2.0180591691827	0.00198258134825668	2.0180591691827	8.97840422159855
CXCL10	up	1.37073826579529	0.00900787197497308	1.37073826579529	6.79459796150504
CD5	up	1.23102345918013	0.0139500608177919	1.23102345918013	6.16358477801879
LCK	up	1.27300661379723	0.00591046709129408	1.27300661379723	7.40251213671856
IGHG1	up	3.24648603916713	0.000133912595171058	3.24648603916713	12.8664207195873
IGHV2-5	up	1.68541370172634	0.00120517623748232	1.68541370172634	9.69654015202396
CD3D	up	1.35431617309418	0.0133810855856529	1.35431617309418	6.22366102555127
IGHG4	up	3.30214428437124	0.000128223419407728	3.30214428437124	12.9290525920259
IGKV1D-16	up	3.23783915034519	0.000164157963994066	3.23783915034519	12.5726276367294
IGKV4-1	up	2.42477362616378	0.00670004250122145	2.42477362616378	7.22161403743393
PRKCB	up	1.30040269778394	0.00722809391632245	1.30040269778394	7.11216903306217
IGLC6	up	3.2858396317519	0.000246369828647482	3.2858396317519	11.9868867904235
IGLC2	up	3.13871615838959	0.000246369828647482	3.13871615838959	11.9868867904235
IRF4	up	1.44986666788479	0.000704596959880281	1.44986666788479	10.4709141294896
ZAP70	up	1.16146701024238	0.0089004196110578	1.16146701024238	6.81191093099633
hsa-miR-299-5p	down	-3.98318939129576	0.00920085975399349	3.98318939129576	6.76401560774575
FGB	up	1.92712369905026	0.0220512354403059	1.92712369905026	5.50299670343989
CD3G	up	1.14479109730436	0.0392455907531662	1.14479109730436	4.67132561362698
IGLL5	up	3.32713011196715	0.000510420874232519	3.32713011196715	10.9360250486129
hsa-miR-15b-5p	up	3.13670575623573	0.00141149414016158	3.13670575623573	9.46856114523146
hsa-miR-148a-3p	up	3.42743980382131	0.00274993539025125	3.42743980382131	8.50638656175538
hsa-miR-148b-3p	up	1.54168757789426	0.0273836527040984	1.54168757789426	5.19054128932179
hsa-miR-19a-3p	up	2.56500730495098	0.0240760310031528	2.56500730495098	5.37625861013642
hsa-miR-301a-3p	up	2.41659578455234	0.0101310760314309	2.41659578455234	6.62506877745541
MAL	up	1.19218940986618	0.00928655246388523	1.19218940986618	6.75064117420778
KLRC1	up	1.25062349583085	0.00425259223468501	1.25062349583085	7.87744175774942
hsa-miR-17-5p	up	5.24245626591617	0.00681791494424339	5.24245626591617	7.19645368317245
hsa-miR-543	up	1.05514941334932	0.00131923415950371	1.05514941334932	9.56608362396043
SH2D1A	up	1.17067758028933	0.00158186861353539	1.17067758028933	9.30415450689471
TNFSF14	up	1.19399707619442	0.0108585193502919	1.19399707619442	6.52502879672673
hsa-miR-186-5p	up	2.51010731950401	0.0137242521554465	2.51010731950401	6.18712865191208
hsa-miR-1271-5p	up	2.38335638205968	0.00507448757112852	2.38335638205968	7.6225221403775
hsa-let-7a-5p	up	4.89382833272918	0.00476134210085666	4.89382833272918	7.71441599488181
hsa-miR-142-5p	up	2.78827172035586	0.0012814118497632	2.78827172035586	9.60805004776777
hsa-miR-23a-3p	up	1.55960888644882	0.0182575772326461	1.55960888644882	5.77536085634467
hsa-miR-23b-3p	up	2.83320969016329	0.00662793098739926	2.83320969016329	7.23722570392759
hsa-miR-31-5p	up	3.02856432453907	0.00662793098739926	3.02856432453907	7.23722570392759
hsa-miR-138-5p	up	2.98802021256957	1.65099342870811e-05	2.98802021256957	15.8863060963959
hsa-miR-129-5p	up	1.90077707356868	0.000115139332627985	1.90077707356868	13.0843316243249
GRP	down	-1.85313064599945	0.019213616375483	1.85313064599945	5.70172710200796
BTLA	up	1.31236311411034	0.00947313640453388	1.31236311411034	6.7219421265368
CCL13	up	1.20870039908005	0.00472141082685321	1.20870039908005	7.7265662621996
CCL19	up	1.67318438016897	0.0376487675704039	1.67318438016897	4.73125355061903
CD27	up	1.31993410389063	0.00743982359042847	1.31993410389063	7.07051587142439
CD38	up	2.22765132770215	1.40891287466023e-05	2.22765132770215	16.1150580744159
CD48	up	1.05209479128805	0.0230659727061501	1.05209479128805	5.43809005675771
CD6	up	1.11938724277163	0.0352925215859291	1.11938724277163	4.82449367806026
CTLA4	up	1.29560571995942	0.000989154120332786	1.29560571995942	9.98151705440246
ETV7	up	1.04405144494386	0.0256683759816174	1.04405144494386	5.28386416917826
FCRL3	up	1.28613949561699	0.00512626429696384	1.28613949561699	7.60787642248022
FGG	up	1.69883715360454	0.0359484281451201	1.69883715360454	4.79792749996739
ICAM4	up	1.0583026118246	0.000128223419407728	1.0583026118246	12.9290525920259
IGLL1	up	1.53996414903618	2.96990185273706e-05	1.53996414903618	15.0392252198112
ITGA10	down	-1.06924312022705	0.0236227197541275	1.06924312022705	5.40368111369734
ITGA11	down	-1.14700896569616	0.0233407112434104	1.14700896569616	5.42100766593139
ITK	up	1.29880967079852	0.0084762201414727	1.29880967079852	6.88236322728628
KCNA3	up	1.24767771410262	0.000947245390980098	1.24767771410262	10.0439741645318
KLRD1	up	1.0379886989968	0.0139713941914516	1.0379886989968	6.16138019674872
LAMP3	up	1.46043724061027	0.0125531620265999	1.46043724061027	6.31580537814818
LAMP5	down	-1.05938353710369	0.0433089878854315	1.05938353710369	4.52918973220948
LTB	up	1.60703239791441	0.00652581025483384	1.60703239791441	7.25962724457983
MYT1	down	-1.42147664802078	0.0348673168353326	1.42147664802078	4.84198084192908
NAV3	down	-1.11710278783683	0.0100341306491058	1.11710278783683	6.63894056186883
NEDD4L	down	-1.08154646542072	0.0262970055361117	1.08154646542072	5.24895766189818
NKAIN1	down	-2.0277225727737	0.0134900290327183	2.0277225727737	6.21196273657278
PTPRCAP	up	1.05634456084365	0.0154786973307159	1.05634456084365	6.01357212873142
RGS22	down	-1.20269348754775	0.0365596386612276	1.20269348754775	4.77360437824721
SLAMF6	up	1.20085613182516	0.00293870887834112	1.20085613182516	8.41060183842425
SLAMF7	up	1.92462283321211	6.87475652740322e-05	1.92462283321211	13.8283318537017
SULF2	down	-1.13054313181019	0.0324951704382452	1.13054313181019	4.94363087478879
TRAT1	up	1.41371580596766	0.00355471450129036	1.41371580596766	8.13605059095315
XCL1	up	1.62078128838697	0.000421149562154861	1.62078128838697	11.2133797133335
