node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
CD79B	BTLA	up	up	u	1.0556120101008	1.31236311411034	0.0207596479050879	0.00947313640453388	CD79B|BTLA
CD19	BTLA	up	up	u	2.31670672571749	1.31236311411034	0.00149997598063588	0.00947313640453388	CD19|BTLA
CCR2	CCL13	up	up	u	1.04393647394219	1.20870039908005	0.0013923941609773	0.00472141082685321	CCR2|CCL13
CCL5	CCL19	up	up	u	1.45472102886647	1.67318438016897	0.00912036937081995	0.0376487675704039	CCL5|CCL19
CXCR6	CCL19	up	up	u	1.50665001116511	1.67318438016897	0.000470174355988911	0.0376487675704039	CXCR6|CCL19
CCR7	CCL19	up	up	u	1.46748207118755	1.67318438016897	0.0359484281451201	0.0376487675704039	CCR7|CCL19
CCR5	CCL19	up	up	u	1.04420373812591	1.67318438016897	0.0255018761196933	0.0376487675704039	CCR5|CCL19
CXCL11	CCL19	up	up	u	1.23412904810405	1.67318438016897	0.0407130901784098	0.0376487675704039	CXCL11|CCL19
CCR2	CCL19	up	up	u	1.04393647394219	1.67318438016897	0.0013923941609773	0.0376487675704039	CCR2|CCL19
PNOC	CCL19	up	up	u	1.81614825682589	1.67318438016897	0.000185388767552166	0.0376487675704039	PNOC|CCL19
S1PR4	CCL19	up	up	u	1.42669891496512	1.67318438016897	0.00551717597200216	0.0376487675704039	S1PR4|CCL19
CXCL9	CCL19	up	up	u	2.0180591691827	1.67318438016897	0.00198258134825668	0.0376487675704039	CXCL9|CCL19
CXCL10	CCL19	up	up	u	1.37073826579529	1.67318438016897	0.00900787197497308	0.0376487675704039	CXCL10|CCL19
CXCR6	CCL5	up	up	u	1.50665001116511	1.45472102886647	0.000470174355988911	0.00912036937081995	CXCR6|CCL5
CXCL10	CCL5	up	up	u	1.37073826579529	1.45472102886647	0.00900787197497308	0.00912036937081995	CXCL10|CCL5
S1PR4	CCL5	up	up	u	1.42669891496512	1.45472102886647	0.00551717597200216	0.00912036937081995	S1PR4|CCL5
CXCL11	CCL5	up	up	u	1.23412904810405	1.45472102886647	0.0407130901784098	0.00912036937081995	CXCL11|CCL5
CCR7	CCR2	up	up	u	1.46748207118755	1.04393647394219	0.0359484281451201	0.0013923941609773	CCR7|CCR2
CXCL11	CCR2	up	up	u	1.23412904810405	1.04393647394219	0.0407130901784098	0.0013923941609773	CXCL11|CCR2
S1PR4	CCR2	up	up	u	1.42669891496512	1.04393647394219	0.00551717597200216	0.0013923941609773	S1PR4|CCR2
CXCR6	CCR2	up	up	u	1.50665001116511	1.04393647394219	0.000470174355988911	0.0013923941609773	CXCR6|CCR2
CCL5	CCR2	up	up	u	1.45472102886647	1.04393647394219	0.00912036937081995	0.0013923941609773	CCL5|CCR2
CXCL10	CCR2	up	up	u	1.37073826579529	1.04393647394219	0.00900787197497308	0.0013923941609773	CXCL10|CCR2
CXCL11	CCR5	up	up	u	1.23412904810405	1.04420373812591	0.0407130901784098	0.0255018761196933	CXCL11|CCR5
CCR2	CCR5	up	up	u	1.04393647394219	1.04420373812591	0.0013923941609773	0.0255018761196933	CCR2|CCR5
CCL5	CCR5	up	up	u	1.45472102886647	1.04420373812591	0.00912036937081995	0.0255018761196933	CCL5|CCR5
CCR7	CCR5	up	up	u	1.46748207118755	1.04420373812591	0.0359484281451201	0.0255018761196933	CCR7|CCR5
