Gene.Symbol	Cancer.Normalized	Role	Citation.Count	Citation.Sum	Role.in.Cancer
A1CF	malignant glioma, breast cancer	Oncogene, Oncogene	1, 1	2	Oncogene
ABCB1	acute lymphocytic leukemia, acute myeloid leukemia, neuroblastoma, hepatocellular carcinoma, ovarian carcinoma, stomach cancer, prostate cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1, 1, 1, 1	7	Oncogene
ABCB4	colorectal cancer, lung cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ABCB5	melanoma, melanoma, melanoma	Driver, Tumor_Suppressor, Oncogene	4, 1, 1	6	Dualrole
ABCC4	lung cancer	Oncogene	1	1	Oncogene
ABCG1	lung cancer	Oncogene	2	2	Oncogene
ABCG2	cervical cancer, malignant glioma	Oncogene, Driver	1, 1	2	Dualrole
ABHD5	colorectal cancer, colon cancer, prostate cancer, colorectal cancer, endometrial cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene	4, 2, 1, 1, 1	9	Dualrole
ABI1	prostate cancer	Tumor_Suppressor	2	2	Tumorsuppressor
ABI3	thyroid gland carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ABL1	chronic myeloid leukemia, leukemia, acute lymphocytic leukemia, chronic myeloid leukemia, leukemia, myeloproliferative neoplasm, hematologic cancer, gastrointestinal stromal tumor, myeloid leukemia, breast cancer, acute myeloid leukemia, lung non-small cell carcinoma, adult acute lymphocytic leukemia, acute T cell leukemia, acute leukemia, chronic lymphocytic leukemia, lymphoma, Burkitt lymphoma, melanoma, prostate cancer, retinoblastoma, pancreatic cancer, lymphocytic leukemia, acute promyelocytic leukemia, chronic lymphocytic leukemia, lymphocytic leukemia, B-cell lymphoma, plasmacytoma, thymoma, glioblastoma multiforme, lung cancer, lymphoblastic lymphoma, non-Hodgkin lymphoma, acute lymphocytic leukemia, hematologic cancer, retinoblastoma, multiple myeloma, polycythemia vera, head and neck squamous cell carcinoma, stomach carcinoma, myelofibrosis, thyroid gland papillary carcinoma, Ewing sarcoma, embryonal carcinoma, gastrointestinal system cancer, cervix carcinoma, endometrial carcinoma, ovarian cancer, essential thrombocythemia, colon cancer, chronic leukemia, thymus lymphoma, atypical chronic myeloid leukemia, B-cell adult acute lymphocytic leukemia, juvenile myelomonocytic leukemia, acute T cell leukemia, myeloproliferative neoplasm, melanoma, lung cancer, acute leukemia, prostate cancer, lymphoma	Oncogene, Oncogene, Oncogene, Driver, Driver, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver, Driver, Driver, Driver, Driver	677, 134, 53, 38, 35, 28, 12, 11, 10, 10, 6, 6, 5, 5, 5, 5, 5, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	1120	Dualrole
ABL2	hematologic cancer, breast cancer, prostate cancer	Oncogene, Oncogene, Oncogene	1, 1, 1	3	Oncogene
ABLIM1	melanoma	Tumor_Suppressor	1	1	Tumorsuppressor
ABR	chronic myeloid leukemia, malignant glioma, medulloblastoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
ACADL	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ACADM	breast cancer	Oncogene	1	1	Oncogene
ACE2	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ACHE	lung non-small cell carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ACIN1	acute myeloid leukemia	Oncogene	1	1	Oncogene
ACKR3	breast cancer, lung cancer	Oncogene, Oncogene	1, 1	2	Oncogene
ACLY	breast cancer	Oncogene	1	1	Oncogene
ACOD1	malignant glioma	Oncogene	1	1	Oncogene
ACOT7	hematologic cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ACOX1	lymphoma	Oncogene	1	1	Oncogene
ACP1	colorectal cancer	Oncogene	1	1	Oncogene
ACRBP	urinary bladder cancer	Oncogene	1	1	Oncogene
ACSL1	colorectal cancer, breast cancer, lung cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1, 1	4	Dualrole
ACSL3	ovarian cancer, lung cancer, glioblastoma multiforme	Tumor_Suppressor, Oncogene, Driver	1, 1, 1	3	Dualrole
ACSL4	colorectal cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ACSL5	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ACSL6	leukemia	Tumor_Suppressor	2	2	Tumorsuppressor
ACSM3	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ACTA1	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ACTL6A	head and neck squamous cell carcinoma, squamous cell carcinoma, nasopharynx carcinoma, hepatocellular carcinoma, malignant glioma, colon cancer	Oncogene, Oncogene, Tumor_Suppressor, Oncogene, Oncogene, Oncogene	2, 2, 1, 1, 1, 1	8	Dualrole
ACTL6B	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ACTN4	cervical cancer	Oncogene	1	1	Oncogene
ACVR1	malignant glioma	Driver	1	1	Driver
ACVR1C	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ACVR2A	colorectal cancer, gastrointestinal system cancer, colorectal cancer	Tumor_Suppressor, Tumor_Suppressor, Driver	1, 1, 1	3	Dualrole
