OriFull	OriSimp	mirbase_accession	version_6_0	version_7_0	version_7_1	version_8_0	version_8_1	version_8_2	version_9_0	version_9_1	version_9_2	version_10_0	version_10_1	version_11	version_12	version_13	version_14	version_15	version_16	version_17	version_18	version_19	version_20	version_21	finalname
hsa-miR-148b-000471	hsa-miR-148b	MIMAT0000759	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b	hsa-miR-148b-3p	hsa-miR-148b-3p	hsa-miR-148b-3p	hsa-miR-148b-3p	hsa-miR-148b-3p
hsa-miR-149-002255	hsa-miR-149	MIMAT0000450	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149	hsa-miR-149-5p	hsa-miR-149-5p	hsa-miR-149-5p	hsa-miR-149-5p	hsa-miR-149-5p
hsa-miR-150-000473	hsa-miR-150	MIMAT0000451	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150	hsa-miR-150-5p	hsa-miR-150-5p	hsa-miR-150-5p	hsa-miR-150-5p	hsa-miR-150-5p
hsa-miR-152-000475	hsa-miR-152	MIMAT0000438	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152	hsa-miR-152-3p	hsa-miR-152-3p	hsa-miR-152-3p
hsa-miR-154-000477	hsa-miR-154	MIMAT0000452	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154	hsa-miR-154-5p	hsa-miR-154-5p	hsa-miR-154-5p	hsa-miR-154-5p	hsa-miR-154-5p
hsa-miR-155-002623	hsa-miR-155	MIMAT0000646	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155	hsa-miR-155-5p	hsa-miR-155-5p	hsa-miR-155-5p	hsa-miR-155-5p	hsa-miR-155-5p
hsa-miR-15a-000389	hsa-miR-15a	MIMAT0000068	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a	hsa-miR-15a-5p	hsa-miR-15a-5p	hsa-miR-15a-5p	hsa-miR-15a-5p	hsa-miR-15a-5p
hsa-miR-15b-000390	hsa-miR-15b	MIMAT0000417	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b	hsa-miR-15b-5p	hsa-miR-15b-5p	hsa-miR-15b-5p	hsa-miR-15b-5p	hsa-miR-15b-5p
hsa-miR-16-000391	hsa-miR-16	MIMAT0000069	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16	hsa-miR-16-5p	hsa-miR-16-5p	hsa-miR-16-5p	hsa-miR-16-5p	hsa-miR-16-5p
hsa-miR-17-002308	hsa-miR-17	MIMAT0000070	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p	hsa-miR-17-5p
hsa-miR-181a-000480	hsa-miR-181a	MIMAT0000256	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a	hsa-miR-181a-5p	hsa-miR-181a-5p	hsa-miR-181a-5p	hsa-miR-181a-5p	hsa-miR-181a-5p
