logFC	AveExpr	t	P.Value	adj.P.Val	B	dir
hsa-miR-34a-5p	4.36042923442775	2.32203883495146	16.4103905499688	1.65596558759439e-30	9.17404935527294e-28	58.8463953602772	up
hsa-miR-25-3p	4.6322328276529	0.39073786407767	16.0404034790898	9.01813189378556e-30	2.4980225345786e-27	57.1793573444382	up
hsa-miR-331-5p	3.52027617562044	-2.3221067961165	14.4948666166025	1.28560235935242e-26	2.37407902360414e-24	50.0265828026603	up
hsa-miR-21-3p	3.9657855970004	0.0711359223300968	13.9192681238813	2.06581678922556e-25	2.86115625307741e-23	47.2880877785783	up
hsa-miR-1275	5.87181834852978	2.91535922330097	13.8281138179517	3.21775851325659e-25	3.5652764326883e-23	46.8509048076877	up
hsa-miR-423-5p	4.20809042690721	0.696902912621358	13.1786766721992	7.76047747718274e-24	7.1655075372654e-22	43.7098229516571	up
hsa-miR-125a-5p	4.11858263861506	-0.132757281553398	13.1335519677867	9.6969802287833e-24	7.67446720963707e-22	43.4899184766203	up
hsa-miR-1285-3p	3.99307058289287	0.190223300970874	13.0594863320666	1.39837540756641e-23	9.6837496973974e-22	43.1285304420615	up
hsa-miR-92a-3p	4.59605999905379	3.16543689320388	12.8865581804224	3.29402937645424e-23	2.02765808283961e-21	42.2826392457757	up
hsa-miR-200c-3p	5.67816569624359	4.88312621359223	12.8151839733256	4.69536994579652e-23	2.60123494997127e-21	41.9326574174194	up
hsa-miR-345-5p	3.53972170361712	-0.0690679611650479	12.6848024411324	8.98280409533803e-23	4.52406678983388e-21	41.2920855889047	up
hsa-miR-375	5.34636016358581	2.94295145631068	12.3887173690741	3.94167481315855e-22	1.81973987207486e-20	39.8316298254334	up
hsa-miR-210-3p	5.54279297187164	1.83965048543689	12.2887341831899	6.50584182818929e-22	2.77248951755143e-20	39.3367246627544	up
hsa-miR-331-3p	5.29958401226146	2.1523786407767	12.1521388323778	1.29178710925375e-21	5.11178613233268e-20	38.6592479978888	up
hsa-miR-744-5p	4.0003951566798	-0.0521165048543672	11.8614770555326	5.5867809305296e-21	2.0633844236756e-19	37.2127522988493	up
hsa-miR-99b-5p	4.47991131824575	2.0798640776699	11.7940213362269	7.85490235478006e-21	2.71975994034259e-19	36.8761575469712	up
hsa-miR-339-3p	2.77768439262296	-0.729873786407766	11.7601067328579	9.32378534590988e-21	2.93059224019109e-19	36.7068070161002	up
hsa-miR-151a-3p	4.61191872522013	3.04478640776699	11.7559507395641	9.5217798417761e-21	2.93059224019109e-19	36.686048811595	up
hsa-miR-769-5p	3.97901374514909	0.559592233009708	11.6677092525862	1.48799613881665e-20	4.33868347844434e-19	36.2450250318752	up
